business_id,varieties,ambience,management,service,value
1Z5S_Lkcl6vA3ZvrAG91TA,190,131,158,50,20
1ZJz840L496LAmQdeDv0WA,270,171,192,71,20
1ZnVfS-qP19upP_fwOhZsA,545,365,397,142,48
217u7Wad7y90x4el26-TIw,56,23,36,15,2
21sGRVR7HEs_t6PdB9tGMw,130,76,102,36,11
25wTaO0_Rk-GLb4k2uMs0Q,255,202,191,75,18
27S0qvkcnRpVV8sr8GR7bw,44,32,31,10,5
2B4bC4w4PDC8Pj53SfTG2g,55,25,29,13,3
2bK1ng2mnRdtTh_BDNGmIg,181,127,131,46,9
2dCnTMv3Hh-fM8bOjYS4Xw,230,130,142,52,21
2DydwQRkIutHarWT_o1L0Q,33,30,21,10,2
2g_auUWw7c3c2CUTgVqI8Q,96,55,67,27,6
2HxaDXZmAOH6LiuzGgNdPA,117,96,83,39,10
2hyciWHsqnbqdEkUvO3KuQ,81,43,59,19,4
2iTsRqUsPGRH1li1WVRvKQ,1125,775,802,303,83
2IvrdAb6zdxr3ZqplqJHbg,271,178,170,78,19
2LL-pWxdM_rvnaIpNxezsQ,42,27,33,6,3
2LNnIARy-lGmrlEMZSxZ1w,91,57,52,20,8
2lPLbTenaBH3SGHgpwM54A,54,31,33,10,6
2lUp2T09MltaVT5awHRElA,65,52,52,19,3
2LZGeJy8qByYKB71ML-jcw,56,34,40,17,3
2m4092MsMzEHkuxodaj6-g,83,56,72,18,10
2O_b-IAAW7SoPt__RX1Kww,75,46,56,23,4
2OJrznHaA4Gz_KYbQnAuzQ,228,133,166,59,16
2PS9kBbuJcmBhcNp-D62uA,97,53,62,19,6
2QznyHGF0PuiYkrl5RU66A,72,53,54,18,6
2RFe9vDTzyBkF4mvsFDDow,104,57,66,17,6
2rvBPUBtQU0WfcOAHLQWRQ,83,61,50,18,2
2sdU3Fq3Wv2XQycJoJQArg,79,49,47,24,2
2SfSzEd3B7WimeZac23zhg,381,247,308,121,30
2sx52lDoiEtef7xgPCaoBw,729,519,532,171,57
2vr2yGIzSehe_ITFamNpyw,83,40,44,17,7
2WiMyg8-DoXQ8_R5qFc2iQ,106,66,73,27,4
2Wl4o7l54I-EtxtaDpOTzA,96,59,75,35,8
2Xc6cpbFM6bqKkgz6bV9kQ,63,42,38,16,7
2XkVexeY_8zyc9nriSElQg,122,71,100,25,9
2Y0-nrSZNsLRStyupZgM7g,71,55,58,16,4
2YBO1LEKIgyle0uX50u15Q,107,65,61,25,12
32JWhoH-Kiu1wRFTvHvW9Q,72,40,55,15,6
33Tr0eRki1Yamzleu4GMdw,198,128,158,42,15
34PMhyoSQHVd4Lr7slzUcA,51,23,33,13,4
35fWtS1LZkaZ-ooKupJ1XA,109,65,75,25,11
364hhL5st0LV16UcBHRJ3A,515,371,372,134,39
36ckWelVitpgX16g7lecqA,41,25,25,9,4
3ajqOW9A7VhResA08I7RTg,483,323,327,126,37
3BCsAgo_1i4xMuTyLKMLRQ,1204,870,846,277,72
3cg4pKBL8DTFXCtZ5y9V4g,77,55,47,21,8
3cHL1r5w2oLYH-veijtweA,398,248,292,102,37
3dC3opMY67zrquz_yYc-tw,51,30,42,12,4
3FlWR_osNPb8dcqLgHebHw,143,97,115,38,16
3fPIRTnBhd81MixgS9YoMQ,103,72,81,23,15
3GEEy7RP6e4bT4LAiWFMFQ,1208,776,842,291,85
3GfdCuI0YCc5U3rLLLPHUw,62,43,42,24,2
3Gt3xskppi9jZuTrwrhLNg,454,324,346,110,35
3IwCop28R1_L5jMv6AkL8Q,148,83,94,41,6
3j_mvJHnT7nJd7su_7zazw,56,39,48,12,3
3Jq5LfJ5fmJ5KmuA6VHmzw,607,402,422,169,58
3kdSl5mo9dWC4clrQjEDGg,1854,1159,1331,498,138
3LWsVfsSmb_Nzbi2YQ-NIA,336,215,254,82,39
3m2XZFVraCiqjgLxHi5MdA,172,109,134,49,16
3nf-a84p8LC41_WAIvJPjg,186,113,127,43,25
3NgDynF6R3aBFhrKwusfQQ,58,40,44,15,4
3pGA9YGsDLRQ7HJLw5cwcQ,67,50,44,13,5
3pSUr_cdrphurO6m1HMP9A,197,139,155,56,17
3QcTqsdxQBlSndBdMJBRhQ,137,95,102,46,7
3Qe4M3JNs7yIRXP13g-NYA,75,57,59,21,7
3rj1qpgFvkRWtAka17mhEQ,148,89,81,32,13
3sPSc8NBvrkXi7scpRYDLg,51,37,40,13,4
3TRgD3KLVis61eGvMZrykA,84,64,65,22,4
3uC7Lbc3RgUDTWQlBu4PqQ,648,434,485,163,46
3uHuoVXDAIoiHotGTHxcbg,72,34,51,16,4
3vxIqhm2jCVjkUWtmDvTsw,281,222,189,60,27
3WRvQJS9GIBubGxbHMzX2g,67,37,47,9,9
3X7dy9FD3fQ8fQ-WBBzDMw,102,61,61,21,7
3XE-poXz9CeDao-Q7pqkTw,124,83,98,43,14
3X-SMnyYq77IYEnyCp-TtQ,38,30,35,9,1
-3zffZUHoY8bQjGfPSoBKQ,365,222,241,85,37
3ZHyw0d8mk0HOEP7v4fW1A,114,87,101,37,10
409qhf4RF0rlxcuaM576Qg,63,32,37,13,2
41b2SLmjLcxTGLVRxASiDA,156,108,119,50,12
41Kbugm-qmIQTt7unkALYQ,184,121,113,54,21
44kd3YdkhXj5XiSPs5XNjQ,458,308,341,128,33
45513UgSlMqWV_yAPVkXrg,63,34,38,15,4
46JVW4pwLDRIye4gYJboSw,51,35,42,11,3
4aAf2nAr86lcDHzqWSaYuQ,43,32,51,15,3
4aCun88uZMOsAoymY5Li3w,151,92,106,39,12
4Azs1HUqi0Nk6s6xB_9jsQ,63,44,44,16,4
4Bw9XffSa0AMy2SrNCS2KA,134,73,83,39,11
4cDWyZa6EqsY4XSWwLY7RA,100,72,69,31,9
4EfiNcKSsafogIhAjwv0gg,90,58,67,25,12
4FaRTjXXFdfs1Nn29V9kAg,76,58,54,17,14
4fGGeKlUY3SwqLW4SH_QnQ,87,76,71,25,6
4GnBMG5pZSJsBn6hbUL_7w,34,24,28,8,1
4hG2j_ibsNblDgqei05U_g,324,222,239,83,23
4Hx-brYb86k4C1VSKPvj7g,137,84,91,29,9
4JkGjRRc3XucG9U8XwthGg,52,43,47,13,4
4JNXUYY8wbaaDmk3BPzlWw,4690,3122,3312,1210,363
4k3RlMAMd46DZ_JyZU0lMg,797,498,551,214,53
4khsN1eXcWR0YYmROlLEzw,83,60,65,26,2
4KmrrhtfnngTVFa2d5LAjg,256,156,183,65,18
4L3VJwVqUareUUIGPE2zcw,58,46,38,9,0
4LhURdgGRofYSR_1LBTXvQ,45,37,47,12,2
4lKF-M_3OLsk1usLPDJEFA,32,32,31,7,4
4mb32UmQULqg7IMck28vog,291,202,226,83,17
4mYPOzBokDgz307TW2EIKw,107,73,78,33,7
4Nj2ktP2NjCbv2aKeH3ZBg,141,104,103,38,7
4Odbtgh9g8XUKorRg7MTHg,111,71,85,41,8
4Pb7SlTK89uSdqOwMNM35A,120,76,112,30,7
4Pl-ziYL2oerGyIPlwVdmA,109,78,83,27,4
4qG3Gh8QyugC1XvoTlmgcQ,410,259,286,102,28
4QmwJBk9VPKyO2DfUeIVWg,47,34,34,16,4
4tiFtmGNFcvKRSPXPVT8Hw,248,145,169,65,20
4ugJ4F8jDJ9-2dEiZ47wLg,80,58,51,14,3
4uISbaUPJLVECBHIi3tpxA,303,211,228,91,23
4v5ZLpmNn13Mze1w_XfWHw,140,108,128,45,12
4VkLiFoIEjTTpbCRgxjnCQ,379,274,265,88,29
4vm2W7J_ztH0vcX4bKfuXw,136,85,113,37,11
4Wou6LarHqefHP21qRu0Ag,84,58,64,19,7
4X0KWUPcD2EkHN83aa4cXg,346,221,228,91,19
4yAvytbVKHqSYAo3mkI9OA,65,43,56,21,6
5_MrPFw9E0cMJ1Q0DJFZOQ,173,169,127,57,13
54LYVM1gCGQ2UVFK9QhgTw,66,49,55,20,9
56Ll9rqG2WxXj4X2pmlkHQ,151,91,122,43,9
56Yb9IgEREFeaSjJ5Y3RVg,108,72,81,32,4
59YbAeuiz0isJtRNKATTKw,219,163,147,59,23
5aeR9KcboZmhDZlFscnYRA,53,52,33,14,2
5cbsjFtrntUAeUx51FaFTg,73,82,52,24,5
5CJL_2-XwCGBmOav4mFdYg,324,214,242,86,22
5CJOaZc8Muu8WothauxQ4g,44,26,24,7,4
5DC9qePg09CHwAFVmqNjjg,50,38,44,14,6
5Dccw539NNtnyCgTu5ed5A,190,141,163,68,12
5EicViODfX1qNOIhdb4OzA,64,28,40,10,4
5EIuCcoHY2evAhFMBV6G6g,78,55,60,27,7
5exz18duMXvg91ZPdNX3eA,184,156,144,65,10
5FiuxRWs-indyk2Y9imkSg,77,45,57,31,3
5fpXjlC71y_mKORnPdX5zA,44,45,40,20,2
5gv6AqHXfi3gJV4fb432Vw,70,54,57,17,6
5iHctUjkQTGwEvOaBkwMRQ,44,40,31,10,3
5iSlHNIy3RLbCP5AayB31g,100,87,73,29,12
5JjGTaZkHbbjBrzBODcsAQ,186,151,135,55,8
5JNvfPfd6mcpwNoekzqBow,169,108,113,36,17
5jTmjxb1X34EfcY1gos4tw,61,66,64,18,3
5keoVVM81g-nJw0Zdpl1nA,269,198,183,67,13
5Lcit9Zt6TF9bmKoFMhF0g,184,172,126,54,13
5llCyMtS_WyUVKXCtpdaJQ,35,32,26,9,1
5l-yKN13VwfPwuSiBIqdJQ,33,32,32,13,2
5ma1OUQWy_Ds80xUiP7JPQ,278,204,177,76,19
5O7qB4gNmr3NgdYAuYbP4Q,46,32,29,9,4
5OqrwhtZ3mcmUSwLINZTWQ,153,149,103,38,6
5PP6BwtNYlPARHApB9lzcQ,56,59,40,11,4
5pxRAyPz1PrW2amW7yYaxA,41,39,34,10,0
5QNXZcclknB2PkfeN7FJWQ,196,185,145,61,16
5shgJB7a-2_gdnzc0gsOtg,703,605,499,194,44
5T0h9YCsXiDZyBsVIN9gcg,180,169,137,57,5
5tl4tyaJEzGeAdbi_L7PzQ,39,33,27,8,2
5TY6bUT3bbl9aHItiIXXqw,164,127,135,40,17
5VeKrLlQdJjMmKGwBBvMmw,118,92,87,32,6
5VXlHFrYZZzj7zfZEsz5nQ,145,126,104,43,6
5WjFHat0vyx0OYtGbTpyag,42,43,29,18,3
5xdKUuu4DbJ71KGbwRXfFg,264,244,227,90,15
5xX1Eb4fBoUr53OJkgRHRQ,65,58,49,19,0
5xYk23lz0ktdMvzHtohymQ,54,54,46,20,6
5YKsKS3nzdkwu37ORT9oiQ,45,27,24,13,2
5yZ1XmDcOEsElDeb9PlPDQ,76,73,62,27,3
5z1WIr7E9P2CSzyN5seeSA,283,245,178,71,20
60uVlCUiLJvq3xNo_3bhQQ,94,89,89,34,4
61pecmfztHO2SLs-WRkwVg,43,45,38,15,2
63Qj5E-GzHJ6vhjhGR4XDw,40,26,28,6,2
64_y0ZgHl34uOzHNnSnd1g,92,75,69,26,3
64o_nYvzIKwHFOSYSEm-qw,166,132,114,51,10
65eDIQ8bpMJFtgdyX7ulVA,387,313,290,99,15
66jwLkSd6M0cZulZrA3zcw,79,70,64,27,4
679eSYC15Sc17TN9Djj8sg,151,121,112,40,6
68jn0s0snbO5dhasLaVvDw,207,179,155,65,11
698nukvxe7mq2Fra5vDikQ,421,363,336,140,38
6ANVuBMmpkXpFd5Hzkn4_Q,258,260,205,65,23
6bgjcFOy4WHMyw62_1V9Pw,119,106,69,27,6
6bU4NFkXbdbvnQBDa9-nfQ,62,48,40,12,4
6e0Abng1LRexKI4LRJTX_A,60,54,44,23,4
6fKmO2gzGQhzM791H6b4mQ,33,29,29,10,3
6fPQJq4f_yiq1NHn0fd11Q,279,239,206,76,14
6fz0hnNIVpLF5v2NqJfA9w,187,166,133,60,10
6H8xfhoZ2IGa3eNiY5FqLA,237,198,175,67,13
6HdzmAatFoB8UDep4n9QIw,51,51,36,11,2
6hsXF2bRmrstSmwuHwI-kw,59,60,40,13,3
6jDD-Z8QcsKTdIDWwM8gog,120,119,83,42,5
6JTxM3pZAaiauddFu88VpA,33,36,30,15,5
6-lmL3sC-axuh8y1SPSiqg,43,30,35,11,2
6MpOzb5ImLdDXHsn4HwI-Q,92,63,61,25,5
6Na0jTJjX5GQY_ZJ53G02A,63,52,39,14,1
6nbPXEjmBnDtsgM_YNwGjw,189,152,151,42,11
6oLnLmdo9FhuAeR-vLQ4tg,71,50,42,16,1
6PqYwabO2g1r2ZB7eImOiw,117,102,75,35,7
6qKjl6xJQzLb9ka-QbTudA,183,160,142,60,14
6QUuDlLjNDQWFCbJ9--jsQ,97,83,87,31,6
6s7uduX1Q1KSjOKvwxYkRA,46,35,31,11,5
6TQ0gCdAqaBbuDyCGa0joA,111,94,76,32,5
6TSpAuUdmo2UEn9emgd8xg,211,176,159,58,12
6tSvz_21BMo3a4GaItwa0g,603,546,457,170,40
6TvB1PZCY1Ap2S-yNJPs4w,81,65,54,21,9
6u_6RV0qDaTQyYqZTzl3XA,52,35,44,16,3
6UI3dCIY6eM1eBOsnEVBuw,54,54,32,10,1
6uV3KMOo8YQofuNUs4D9pA,67,56,60,23,6
6Ve_2kEz18dvhp4q3M5I2Q,48,38,34,14,4
6Vyp-9i1jzwK_bvisuPJpQ,527,485,359,133,35
6W3hdaCjx_n1kADEuORduA,52,35,33,12,2
6Wvn57wjSrVX7gJM37CIZw,134,114,94,36,7
6xgcHeLad-VaoTIQewK84A,431,333,321,120,37
6z3cgIE9dJ01wUm43f0yBQ,125,122,102,33,12
6Z6IyosSMciZtwk8hRLRag,241,193,164,65,16
71bwX-tbmq4su8H7Q9oLOQ,41,23,28,7,4
73oP6zoYZKNlO8642EMD_Q,93,79,60,24,9
74pWjFssgqyhaVg-YCUo3A,156,126,114,40,9
750iLCqKvDnIWzRSRSUlrg,45,49,32,16,6
77h11eWv6HKJAgojLx8G4w,951,812,670,269,49
78TC3sZSYBzBsSJ0z5pyhw,68,53,52,23,3
78XbdLi5e42XDxgnxuYacg,198,175,153,60,9
7B4ZXiaDDcg04_N1A0DG9A,50,34,34,18,3
7-Ba9uSmYYpXgnQRoIPxMQ,211,168,146,53,11
7BK6vckOh2Ywq8ryy8P7Ow,62,52,44,18,3
7dHYudt6OOIjiaxkSvv3lQ,214,196,154,52,10
7FLHJMOYszFPCqK3tg5umA,64,61,60,25,2
7fxebHYUwIF6CakxSr70iQ,708,601,498,198,51
7GGJlp1aWfcXGQz6q7SkXQ,148,144,118,49,16
7gjYJ6leqm2IMJXNpKvIlw,57,35,36,13,2
7hWNnAj4VwK6FAUBN8E8lg,46,29,33,16,3
7ibuDLfx8gEhESAufYIySw,576,487,400,175,32
7iuruLs-q-_RW06IbsBxZw,104,108,63,33,15
7KkgMcbVaetryW1wwpzvvA,82,91,67,20,6
7kXrUSjG67NitjRfRFn9cw,27,34,28,10,4
7njZaRjDXi8anBaGlGQu4g,70,57,54,18,3
7nRlDLrob6oK5zmGo4Vpbg,247,196,182,69,21
7NucoWCjPzZyRPjsVR28xQ,67,44,38,17,1
7P3Z4HTUM8M8Y9Yw3cc7Pg,70,55,55,24,5
7qFtiPg0gdbk911_mj6LoA,48,35,32,15,3
7sb2FYLS2sejZKxRYF9mtg,887,748,674,239,53
7sGcBZwkD4yFLiBLS1WKgA,142,103,107,36,9
7sPNbCx7vGAaH7SbNPZ6oA,1761,1531,1271,484,108
7UFDAX4wLi6ux5otguYldA,272,227,196,66,25
7usumJrTK_qs2GbSd8zIvg,52,40,38,23,3
7UtqNjjd9D6oU7UcT2nxig,58,41,39,14,5
7vHvQCjPq5pWj7Rio1A--w,271,237,185,85,13
7wHLFohwCw8l6WS-feLjeg,309,277,223,85,16
7wMCJ9NqL9eBEX4WdJWuIA,68,59,47,15,4
7Xw_vv-ekUL2sTqipnKT0g,245,211,164,62,18
7xXaO9deBDh_dd0JQjA-Qg,188,144,134,53,6
7yYexN1Q5ShE_z1MH2TDTw,219,218,190,60,14
7zMwR4FkvTbSGY0vRT5Ljg,35,34,26,10,3
8_hy-FrbC9zcakjKH_yaXA,73,74,54,23,2
80Lkm305ZOkQdMEIvOy_lw,214,188,155,53,12
82g1PwX5FvclqqdjJHcVNA,204,161,146,70,10
82-wE5pkxyBKhfxyyZap_A,37,28,31,13,4
82YGtjc5KKikNiqBZ33qzw,288,211,211,69,18
84DjKzaR26vphu9fNI9nKg,53,49,39,17,2
86stmK3Vm2f5W6PdyvuLrQ,48,33,39,19,3
8-8btzuYZCqEVOPwk0YYfA,171,145,113,37,10
8b5ll2kjXfjgFIqWsjkr8Q,75,52,44,17,5
8bqhrcvbLe-Hz1jcI0yx3Q,67,46,37,20,5
8bYXg27QEoAx7us15eIL5g,55,40,42,16,5
8chcaZIRlP4p5anpzUB3FQ,193,169,152,65,15
8dSIAoz_UphMGpZr_uMing,95,71,57,22,8
8fFTJBh0RB2EKG53ibiBKw,202,157,137,54,17
8F-UdXe_YylX3k0L1SEiRg,216,219,168,49,16
8FUzCm4Q13MJMX7N6ftmQw,135,107,92,38,11
8J4oT58-Nc-q1bpF9CRTpw,74,69,55,15,7
8KEB1lcjKlIVSd6uA8JB9w,129,107,76,33,4
8L_eeOwZryvlUEO42Zq8nQ,63,56,48,16,3
8OaXvfag7E7oznV4rVb7vg,48,38,38,20,0
8olG8J91NG_QU92WHG5QfA,369,312,260,94,24
8pmGz3Lg4f_r7HdDZPa4dQ,223,188,169,55,19
8Q6jl7OW8DZzwANggDspcw,393,327,269,119,18
8qAtou9A4ksXGkjyLibWDg,88,85,64,28,6
8Qs6f026h6sU6MAzL7JJjg,56,54,41,18,7
-8R_-EkGpUhBk55K9Dd4mg,64,42,53,13,0
8RaBVWFkysjREG-1itH_pg,54,41,37,17,1
8RFT1woy0WnTp62ndVJgow,32,38,31,10,1
8SwMaPL6AJIs1ZPSZ3NJ4w,272,213,194,73,16
8SWZLawwzqwzbXpGQS7gBw,206,172,144,56,6
8tMy7yEeNVYylVVFRlPmdQ,71,59,42,23,4
8USUyIeN39rurnqCn5cA0w,106,104,84,41,10
8vkFJ_kA8XxDyjHfmsdEOg,45,37,28,12,0
8wt-saX_qXaqVCXQHc5qXw,97,94,85,28,3
8yiLVWzJyyTEhYE0fVNvlA,162,132,124,48,7
8YJOMfdnk42v3PvpkDxJGg,43,42,35,14,3
8yY7tAd-qrjC0Ineby0cPA,41,45,41,15,5
8Yz1eFsaUy-ny3B6YZDOrg,149,136,113,44,5
9_OPjioLbD9Q_zAeHfv6kw,151,120,101,40,7
939j88ceB05Te3D7kQPwSA,255,229,198,59,16
95CCHowiE0W_ovv5-9lQAQ,167,136,114,42,8
95TwO5NbFeH7Kz7_OYr1Ig,41,36,24,10,3
966W5oXOBW0ZWhNYy0yjcA,321,271,204,89,15
97TVQZZo_2nMDTeWvqfXXg,48,47,30,14,3
98hNRWW4AC5IzEg4BP3f5Q,71,68,48,21,5
99kGGQoig4YaRi-52VtqMA,112,76,66,24,4
9ae7asMUB-Fty3tw6m18qQ,52,51,40,14,3
9c3LlXubVkbMwIrS8dIp0Q,142,132,107,37,10
9CNObWIk7w8poCo5IAtgmw,61,42,41,16,6
9-cVW8wSRoE6Nmnc7v0uUA,330,304,240,76,15
9cw870n3gsGikVoOT5YOYg,327,282,226,103,21
9d36_PI9Fh7kZ-Pybr2QiA,128,110,110,36,9
--9e1ONYQuAa-CB_Rrw7Tw,889,598,627,224,64
9evRrJHVWghiv16EOUg6zA,40,26,28,13,3
9iCgfQ7ffWtroHbde7q-pQ,42,38,33,10,1
9jPb9kD6UBk4aVEgaizaoQ,46,27,29,7,4
9km51KaQujxsSgdaG9gYSw,141,111,93,33,17
9lqPRnnxUA47dacFK9lhtQ,95,87,63,27,7
9M6eqYZlyBMo8K9QztXcIA,70,46,35,19,3
9P23-V64kYz3trn9ecaJJA,96,80,69,26,5
9PIC380tmNYpIC3z5cvcNA,314,308,239,99,24
9qcTpWYxrZrN13p1zAP6dA,131,116,106,38,4
9R2UXiCt1DgV8Yhm3WX2KA,47,41,35,14,4
9sbXPpRC_wDhCsp7qG2PDw,71,54,53,24,1
9tLCuUmw3Tlco-tKPGkIWQ,77,66,51,22,0
9U4Tqt5SkZKQ6eeH6IPSxQ,189,171,132,48,11
9UVkAmyodpaSBm49DBKFNw,208,175,136,60,12
9UZbY3FxhpNZ8sVWcYON6A,74,57,54,16,1
9V9RlgqqnPFQJfF_e9Lnmw,72,73,62,17,4
9WAnQD1nj1j3zLZ7ONtvfQ,90,74,67,26,2
