business_id,varieties,ambience,management,service,value,business_name,rating
_kdpjoGrIzA64E6aXHA66w,3.890243902,3.698717949,3.901734104,3.716666667,3.272727273,Barcelona Tapas,4
_paJE9yQfSvo25BKBQrKZA,2.450980392,2.769230769,3.133333333,2.454545455,1.5,El Pollo Loco,3
_PQ1cKw_ZtKrXNxCMgIeYA,3.423076923,3.272727273,3.461538462,2.909090909,4,Jalisco Cantina,3.5
_QvGAqMmrUIlxpby2Ul5Dg,3.365591398,3.423076923,3.231481481,3.441860465,3.2,Dona Maria Tamales Restaurant,3.5
_RiwESa2w64ls6y_5tE4CA,4.267175573,4.382978723,4.16,4.178571429,4.666666667,Yoshi Burritos,4
_R-rjgz4Kwi4f3u0clFeKg,2.658536585,2.824324324,2.571428571,2.535714286,1.333333333,Sid's Cafe,2.5
_sh6mIBWZis66mAjkjN8Qg,3.703225806,3.486725664,3.701149425,3.852941176,3.909090909,Rachel's Kitchen,3.5
_TlhZftKs1aXCYX1rLWAGw,4.205882353,4.15625,3.972222222,3.6,3,La Bayou Casino,4
_TSaVr53qiEGqMkwyEMaQ,4.158671587,4.238636364,4.215053763,3.983870968,4.666666667,#N/A,#N/A
_vvK0PUe7KJtntpRVVAj4Q,4.212765957,4.05,3.878787879,3.285714286,5,Carlitos Cuban Food,4
_w5hBpkjHs5_Hv3pLeHtIw,3.866666667,3.919083969,3.909612626,3.961864407,4.102040816,Julian Serrano Tapas,4
_Xzz-PChcdJ1862CK6dRyw,4.088607595,4.20754717,4.033333333,4,4,Toast Society,4.5
_Y7090jnL5EezPib1ZVF1A,3.142857143,3,2.763157895,3.294117647,3.666666667,Roadrunner Saloon,3
0_aeYE2-VbsZts_UpILgDw,4.007215007,4.037117904,4.067484663,4.092485549,3.886792453,Lazy Dog Restaurant & Bar,4
0_mJttUgHIzC-NO18gcgBA,4.198630137,4.311827957,3.752380952,4.065217391,4.1875,La Mojarra Loca Grill,4
01Ov9eDxKRY5k6ImMdiWLQ,3.241758242,3.053571429,3.12,2.842105263,2.875,Hong Kong Garden Seafood & BBQ Cafe,3
01SiPgdiOskMC5bUJoyy_g,3.86746988,4.046875,3.935483871,3.761904762,3.5,Winchell's Pub & Grill,4
01VPJkcU0m8WzlA7dCEpVQ,4.296969697,4.403846154,4.384615385,4.375,4.454545455,Tea Space,4.5
02pL_Xj3sTO_lHcWqUcwKA,4.074257426,4.171171171,4.081632653,4.2,3.846153846,Rollin' Smoke BBQ,4
03icrim6SfEQJlejDMbzsA,3.806451613,3.853658537,3.813953488,3.444444444,5,Pho Saigon,4
065c76tt1dXBNmoGBymUgQ,4.114754098,3.938271605,4.021978022,4.034482759,4.153846154,Cheffini's Hot Dogs,4
06MlxbtB4ZYeg_ri02RIAQ,2.5,2.8125,2.588235294,2.7,4,El Pollo Loco,2.5
07AZL5XenCQ_-op_onKLdw,4.012578616,3.976415094,4,3.845238095,3.742857143,BLT Steak,4
07gh-AImcEcWQ2bew-jprg,3.537037037,3.621621622,3.5,3.846153846,4,Woo Che,3.5
0ahghcpWQVkm4lEFwx-peA,3.2875,3.50617284,3.217948718,2.791666667,2.428571429,Habib's Persian Cuisine,3.5
0AQnRQw34IQW9-1gJkYnMA,2.933628319,2.972911964,3.029545455,2.982248521,3.093023256,Diablo's Cantina,3
0aw3HbxkZ4G7pkPYt10fhA,3.159574468,3.192307692,3.220338983,2.818181818,2.25,Olive Garden Italian Restaurant,3
0c6PQILCLwRZ8FIB4AEsGw,3.426470588,3.530612245,3.618181818,3.904761905,3.5,China One - West Charleston,3.5
0CB7YB1qRSWLQvMbHw3Fmw,4.022222222,4.094202899,4.034682081,3.738461538,4.035714286,Easy Life Boba Tea,4
0d0i0FaJq1GIeW1rS2D-5w,4.367553866,4.390781563,4.366548043,4.409090909,4.294117647,Bruxie,4.5
0dr1FgqQSEMbaTu9SDqiIg,4.044776119,3.826086957,3.802197802,3.825,4.75,China A Go Go,4
0EgYXYjt2XJL4hlsKnzrcw,4.348514851,4.386227545,4.317204301,4.390070922,4.485714286,PublicUs,4.5
0EpnzIpeFvhISkxMTIv9WA,4.164383562,3.857142857,4,3.789473684,3.5,Paradise Place Jamaican Cuisine,4
0FHfkDxKSeDuyAEeaY6X-Q,3.447368421,3.722222222,3.755555556,3.444444444,5,Panera Bread,3.5
0G1y7uV7w1D2uziS4Lt_Dw,3.574074074,3.938461538,3.47311828,3.931034483,3.625,Chapalas Mexican Restaurants,3.5
0gWg-kqRLEQbhui8b_v2Xw,3.833333333,3.571428571,4.126760563,4.185185185,4.333333333,Hi Scores - Blue Diamond,4
0Hcks5q-DgJbDlmEWolx4A,3.766081871,3.584070796,3.729508197,3.717391304,3.272727273,Bonefish Grill,3.5
0i9S0BejjRv0ZDwdO9XymA,4.551724138,4.541666667,4.523809524,4.647058824,3,Thai Seafood Ginger,4.5
0InA3Ffj8MxyQV9hgsyYcQ,3.795833333,3.89261745,3.759259259,3.924528302,3.45,Novecento Pizzeria,4
0jtRI7hVMpQHpUVtUy4ITw,3.966442953,4.051020408,4.076923077,4.282608696,4.083333333,Omelet House Summerlin,4
0LGnU7V3nepi8NUNzyQOXw,3.555555556,3.022222222,3.333333333,4,2.5,Einstein Bros Bagels,3.5
0m99JzzybBddbP9mr2y5XA,3.828571429,3.677419355,3.75,4.066666667,2.5,The Chicken Shack,3.5
0nlocywsFHQmEt8_xbHNiw,3.414634146,3.743589744,3.53125,3.333333333,1.5,Long Jin Chinese Cuisine,3.5
0NmTwqYEQiKErDv4a55obg,4.107344633,4.120087336,4.134808853,4.214723926,4.220338983,Scarpetta,4
0OdZXIKQypu6vplpxFilsA,3.681481481,3.711340206,3.504587156,3.694444444,3.444444444,Kneaders Bakery & Cafe,3.5
0p27EjcNwTI7Ey4K_MNPww,2.76,3.142857143,2.838709677,3.176470588,4,Fatburger,3
0qet57CmMA5qUm6gPFUTpg,3.011494253,3.032258065,3.017857143,3.111111111,3.111111111,Di Fara Pizza,3
0QHMAUi6NdOUZ1ckXq0-sA,2.492248062,2.85443038,2.659340659,2.493670886,2.5,Rainforest CafÃ©,2.5
0qPNeqLuKE88rKbIbSZDpg,3.488095238,3.574468085,3.462264151,3.384615385,3.153846154,Killer Shrimp,3.5
0QSnurP5Ibor2zepJmEIlw,3.804123711,3.833333333,3.640625,3.434782609,2.8,Tacos La Mexicana,4
0S4WFZJZhVeM3aAqKjLz1w,3.73480663,3.408333333,3.674418605,3.375,3.6,VooDoo Steakhouse,3.5
0TljdWRIDQzlp4siHQ_BAQ,2.159090909,2.230769231,2.357142857,2.125,1.333333333,Denny's,2
0ueq5zB3NqLbh93KYYNIHQ,3.653061224,3.75,3.738095238,3.555555556,3,Thai Grill,4
0uR48n5SYcLE_DLcjONZPg,3.571428571,3.666666667,3.811320755,3.3,3.5,Jimmy John's,3.5
0VjHFdczi6Nln_nn8bucJQ,4.128205128,4.017857143,4.14516129,4.08,4.2,Pho Bistro,4
0w3BdEOxvwKTpypwbN5kiQ,3.526960784,3.5,3.443298969,3.473684211,3.827586207,Tofu Hut,3.5
0WoQQlMXVIDEgI0xNdENKA,3.318302387,3.334801762,3.339285714,3.340206186,3.222222222,Feast Buffet,3.5
0wW9PasC8pw8SY7rlY3ZKw,4.539007092,4.616161616,4.532110092,4.609756098,4.75,Fish King Grill,4.5
0xdpv5CPpbUUch7JKBG98Q,3.328947368,3.524590164,3.142857143,2.9375,3.5,Sirio Ristorante,3.5
0XEqyl_lVaJNHRKxNcjJZg,4.404530744,4.348484848,4.41588785,4.346666667,4.192307692,Coffee Pub,4.5
0xtBEP5zCu1153SoqqemLw,4.2,4.127659574,4.147540984,3.956521739,4.666666667,Tacos Y Tortas El Panzon,4.5
0xvdC8F0HmFpAFkJk6nXLg,4.5,4.503448276,4.379679144,4.461538462,4.333333333,YojiÃ© Japanese Fondue,4.5
0xzmIBsJQc5eUNLucFrZ0Q,3.588235294,3.766666667,3.475609756,3.807692308,3.125,Stratta,3.5
0YG_kM5caZhtwd6nbnei6A,4.113924051,4.282608696,4.258064516,4.153846154,4.125,The Charcoal Room,4
0zoXYHq82haayMaV952jEQ,3.891774892,3.835365854,3.884615385,3.875,3.941176471,Greens and Proteins,4
16Fplxu-OwVmTEFxQAUP4g,3.496240602,3.576923077,3.549450549,3.410714286,3.25,TENDER Steakhouse,3.5
16tWXenJ1wTqugXJU7yiZg,3.758865248,3.690721649,3.693467337,3.410958904,3.791666667,808 Sushi,3.5
1bALsE6aZE23mGV2WPxN_g,3.968253968,4.083333333,3.86440678,4.047619048,3.4,Capriotti's Sandwich Shop,4
1CaM8eIvl41l4f3V-V-cAw,4.75,4.723404255,4.641509434,4.789473684,4.5,Smooth Eats,4.5
1CP8aJa8ILlfM5deroar0Q,3.191919192,3.254545455,3.111111111,3.724137931,4.142857143,Wingstop,3
1CR2ddUcjYYwRd5JLtiRrw,3.692082111,3.610576923,3.706666667,3.62962963,3.942857143,Hard Rock Cafe,3.5
1CTapYK3FHvpiJaQhOaaIw,3.519230769,3.444444444,3.457142857,4.090909091,4,L & L Hawaiian Barbecue,3.5
1CWMNSTRMejdSyXBG2chNg,3.4625,3.490909091,3.666666667,3.555555556,4.333333333,Fireside Restaurant & Tavern,3.5
1Df5WnLX3DqN6ymlhqznaQ,4.338709677,4.345744681,4.32748538,4.29787234,4.263157895,Roy's Restaurant,4.5
1FAvxOUOGGyZoYNlAXACag,2.635869565,2.925925926,2.510948905,2.428571429,2.727272727,Dal Toro Ristorante,2.5
1g29d62cEojB-7mX7p8AzQ,4.549019608,4.35483871,4.432432432,4.615384615,4.166666667,Kanji Steak and Sushi,4.5
1gU1ZNbcvk0puuUQjbl23w,4.176,4.285714286,4.025641026,4,4.166666667,Sushi Factory,4
1jpYP-JNOEYCMIzP4OlGuQ,4.257234727,4.212669683,4.134782609,4.184210526,4.074074074,Braddah's Island Style,4
1KhBzrqmU164bss64jR5uA,3.98757764,4.13,4.147540984,3.962264151,4.769230769,Rick's Rollin Smoke BBQ & Tavern,4
1M1A-s6BbnzK3eURw01rZQ,3.552631579,3.571428571,3.047619048,3.444444444,3,Rincon Catracho,3.5
-1m9o3vGRA8IBPNvNqKLmA,4.551020408,4.482352941,4.457446809,4.472222222,4.6,Bavette's Steakhouse & Bar,4.5
1ME-zOtZ9HApzJUOpR0-vQ,4.094339623,4.1,4.233333333,4.416666667,5,El Herradero Mexican Restaurant,4
1MrSwj8i2VEBHdp3IsWCpQ,4.52,4.277777778,4.735849057,4.421052632,5,El Fish Taco,4.5
1nM-ES-xVqL0yQGTCwtd-Q,3.56097561,3.3125,3.909090909,3.727272727,5,Thai Taste,3.5
1SCETxRnwaYo2aBC3fi4SA,4.266666667,4.151162791,4.282352941,4.485714286,4.615384615,PDQ - Las Vegas: Sahara,4.5
1SE9f6TEV5XhnTuuK01xwA,3.069306931,3.016129032,2.987179487,2.52,3.5,Wingstop,3
1SqLPgnZEVeVYDM-AuoFhg,3.801104972,3.827272727,3.70661157,3.8,3.84,Pops Philly Steaks,4
1UvrUFk3BXAmueL1KQaKPQ,3.75,3.696969697,3.580645161,3.555555556,3.5,Fiesta Filipina Cuisine,3.5
-1vfRrlnNnNJ5boOVghMPA,3.461538462,3.258064516,3.057142857,3.083333333,3.333333333,Red Ginseng Narita Sushi & BBQ,3
1V-mRUpVnIRq6GYymT_uyw,3.630434783,3.275862069,3.617647059,4.142857143,3,Braddah's Island Style,4
1VTezD8PLosh-FeNxSRQ7g,3.111111111,3.033333333,3.129032258,2.923076923,3.5,Rare 120,3
1WBVqmo7tgF0z0eGf4fPhQ,4.469924812,4.317365269,4.365168539,4.514285714,4.4375,Pastaidea,4.5
1Z5S_Lkcl6vA3ZvrAG91TA,4.352631579,4.435114504,4.360759494,4.3,4.35,Sofrito Rico Authentic Puerto Rican Cuisine,4.5
1ZJz840L496LAmQdeDv0WA,3.807407407,3.614035088,3.703125,3.85915493,3.7,Pinches Tacos,4
1ZnVfS-qP19upP_fwOhZsA,3.849541284,3.742465753,3.876574307,3.823943662,3.645833333,Big Wong Restaurant,4
217u7Wad7y90x4el26-TIw,3.75,3.695652174,3.944444444,3.133333333,4.5,Capriotti's Sandwich Shop,4
21sGRVR7HEs_t6PdB9tGMw,2.538461538,3.131578947,2.941176471,2.833333333,2.272727273,Angelina's Pizzeria,3
25wTaO0_Rk-GLb4k2uMs0Q,4.160784314,4.079207921,4.020942408,3.946666667,3.888888889,AquaKnox,4
27S0qvkcnRpVV8sr8GR7bw,3.613636364,3.625,3.612903226,3.5,4,Shadow Bar,3.5
2B4bC4w4PDC8Pj53SfTG2g,4.454545455,4.6,4.827586207,4.461538462,4.666666667,Taste - Homestyle Indian Kitchen,4.5
2bK1ng2mnRdtTh_BDNGmIg,3.243093923,3.433070866,3.152671756,3.434782609,3.777777778,North End Pizza,3.5
2dCnTMv3Hh-fM8bOjYS4Xw,3.526086957,3.623076923,3.823943662,3.596153846,4.047619048,Nevada Chicken Cafe,3.5
2DydwQRkIutHarWT_o1L0Q,3.484848485,3.033333333,3.047619048,3,2.5,Don Chuy Mexican Grill,3
2g_auUWw7c3c2CUTgVqI8Q,4.09375,4.127272727,3.955223881,4.111111111,2.833333333,Pho 88,4
2HxaDXZmAOH6LiuzGgNdPA,2.675213675,2.84375,2.843373494,2.794871795,3.4,Farmer Boys,3
2hyciWHsqnbqdEkUvO3KuQ,3.49382716,3.302325581,3.389830508,3.526315789,4,Little Crown & Anchor Pub,3.5
2iTsRqUsPGRH1li1WVRvKQ,4.449777778,4.450322581,4.460099751,4.452145215,4.228915663,Carson Kitchen,4.5
2IvrdAb6zdxr3ZqplqJHbg,2.132841328,2.157303371,2.164705882,2,2.736842105,Jose Cuervo Tequileria,2
2LL-pWxdM_rvnaIpNxezsQ,4.476190476,4.148148148,4.212121212,4.333333333,4.333333333,Slidin' Thru HQ,4.5
2LNnIARy-lGmrlEMZSxZ1w,4.417582418,4.298245614,4.480769231,4.5,4,Great Buns Bakery,4.5
2lPLbTenaBH3SGHgpwM54A,4.166666667,3.967741935,4,4.2,4.333333333,Pho Lan,4
2lUp2T09MltaVT5awHRElA,4.353846154,4.653846154,4.326923077,4.315789474,4,I. C. China Bistro,4.5
2LZGeJy8qByYKB71ML-jcw,2.642857143,2.470588235,2.575,3.058823529,3,Rock & Rita's,2.5
2m4092MsMzEHkuxodaj6-g,3.771084337,3.928571429,4.097222222,4.055555556,4.4,Ondori Asian Kitchen,4
2O_b-IAAW7SoPt__RX1Kww,2.733333333,2.869565217,2.607142857,2.47826087,3,Buca di Beppo Italian Restaurant,3
2OJrznHaA4Gz_KYbQnAuzQ,3.464912281,3.609022556,3.253012048,3.152542373,2.9375,Volcano Tea House,3.5
2PS9kBbuJcmBhcNp-D62uA,4.783505155,4.603773585,4.677419355,4.684210526,4.166666667,Mom's Teriyaki,4.5
2QznyHGF0PuiYkrl5RU66A,4.666666667,4.679245283,4.666666667,4.833333333,4.833333333,Playa Papagayos,4.5
2RFe9vDTzyBkF4mvsFDDow,3.057692308,3.350877193,3.409090909,3.294117647,2.833333333,Dickey's Barbecue Pit,3
2rvBPUBtQU0WfcOAHLQWRQ,3.686746988,3.491803279,3.9,3.277777778,4.5,Crunch Donut Factory,3.5
2sdU3Fq3Wv2XQycJoJQArg,3.316455696,3.326530612,3.617021277,3.416666667,3.5,Salo-Salo Grill,3.5
2SfSzEd3B7WimeZac23zhg,4.288713911,4.230769231,4.269480519,4.214876033,4.366666667,LeonÃ© CafÃ©,4
2sx52lDoiEtef7xgPCaoBw,4.425240055,4.464354528,4.505639098,4.473684211,4.280701754,VegeNation,4.5
2vr2yGIzSehe_ITFamNpyw,3.662650602,3.8,3.727272727,3.647058824,4.714285714,Fun Tacos,4
2WiMyg8-DoXQ8_R5qFc2iQ,4.198113208,4.363636364,4.095890411,4.518518519,4.5,Poke Addiction,4
2Wl4o7l54I-EtxtaDpOTzA,3.854166667,4.016949153,4,3.828571429,3.25,Pub 365,4
2Xc6cpbFM6bqKkgz6bV9kQ,2.714285714,2.80952381,2.842105263,2.25,2.571428571,Rock n Roll Sushi,3
2XkVexeY_8zyc9nriSElQg,3.967213115,3.732394366,4.02,3.88,3.666666667,Tacos Tijuana,4
2Y0-nrSZNsLRStyupZgM7g,2.85915493,2.8,3.034482759,2.875,3,Courtyard Cafe,3
2YBO1LEKIgyle0uX50u15Q,3.542056075,3.553846154,3.459016393,3.8,3.583333333,Noodle Exchange,3.5
32JWhoH-Kiu1wRFTvHvW9Q,4.694444444,4.875,4.709090909,4.6,5,Pie Me Over,5
33Tr0eRki1Yamzleu4GMdw,4.444444444,4.4609375,4.443037975,4.5,4.6,Rosallie,4.5
34PMhyoSQHVd4Lr7slzUcA,2.941176471,2.695652174,2.696969697,2.461538462,2.75,Ori'Zaba's Scratch Mexican Grill,3
35fWtS1LZkaZ-ooKupJ1XA,3.229357798,3.107692308,3.24,3.56,3.090909091,Buffalo Wild Wings,3
364hhL5st0LV16UcBHRJ3A,4.355339806,4.266846361,4.379032258,4.440298507,4.512820513,Yonaka Modern Japanese,4.5
36ckWelVitpgX16g7lecqA,3.853658537,3.52,3.72,2.777777778,3.75,Canaletto Ristorante Veneto,3.5
3ajqOW9A7VhResA08I7RTg,3.753623188,3.780185759,3.77675841,3.833333333,3.972972973,Hash House A Go Go,3.5
3BCsAgo_1i4xMuTyLKMLRQ,4.320598007,4.337931034,4.244680851,4.371841155,4.305555556,SkinnyFATS,4.5
3cg4pKBL8DTFXCtZ5y9V4g,3.454545455,3.418181818,3.468085106,3.476190476,3.375,Johnny Smalls,3.5
3cHL1r5w2oLYH-veijtweA,3.670854271,3.75,3.732876712,3.774509804,3.648648649,Public House,3.5
3dC3opMY67zrquz_yYc-tw,2.588235294,2.833333333,2.142857143,2.25,1.75,Pepe's Tacos,2.5
3FlWR_osNPb8dcqLgHebHw,3.083916084,3.030927835,2.947826087,2.842105263,2.9375,Mimi's Cafe,3
3fPIRTnBhd81MixgS9YoMQ,3.766990291,3.972222222,3.790123457,3.695652174,3.733333333,California Pizza Kitchen at Fashion Show Mall,4
3GEEy7RP6e4bT4LAiWFMFQ,4.226821192,4.287371134,4.180522565,4.189003436,4.517647059,Pizza Rock,4
3GfdCuI0YCc5U3rLLLPHUw,4.161290323,3.953488372,4.095238095,4.25,3.5,Izakaya Cocokala,4
3Gt3xskppi9jZuTrwrhLNg,3.960352423,3.935185185,3.812138728,3.809090909,4.342857143,Stack Restaurant & Bar,4
3IwCop28R1_L5jMv6AkL8Q,3.810810811,3.927710843,3.712765957,3.634146341,4,Jalisco Cantina,4
3j_mvJHnT7nJd7su_7zazw,2.535714286,2.461538462,2.8125,3,3,Ginseng 3,3
3Jq5LfJ5fmJ5KmuA6VHmzw,3.879736409,3.858208955,3.895734597,3.781065089,3.931034483,Topgolf,4
3kdSl5mo9dWC4clrQjEDGg,4.459546926,4.427955134,4.45379414,4.389558233,4.550724638,Egg & I,4.5
3LWsVfsSmb_Nzbi2YQ-NIA,4.125,4.195348837,4.043307087,3.914634146,4.358974359,Delhi Indian Cuisine,4
3m2XZFVraCiqjgLxHi5MdA,4.412790698,4.495412844,4.52238806,4.551020408,4.5625,Rosemary's Restaurant,4.5
3nf-a84p8LC41_WAIvJPjg,3.989247312,4.123893805,3.937007874,3.976744186,4.16,Grimaldi's Pizzeria,4
3NgDynF6R3aBFhrKwusfQQ,3.982758621,3.8,3.886363636,4.266666667,3.75,Blinders Burgers and Brunch,4
3pGA9YGsDLRQ7HJLw5cwcQ,4.119402985,3.94,3.863636364,4.153846154,3.8,Yunnan Tasty Garden,4
3pSUr_cdrphurO6m1HMP9A,4.78680203,4.762589928,4.793548387,4.696428571,4.529411765,J Karaoke Bar,5
3QcTqsdxQBlSndBdMJBRhQ,3.620437956,3.8,3.509803922,3.434782609,3.571428571,Freedom Beat,3.5
3Qe4M3JNs7yIRXP13g-NYA,4.306666667,4.421052632,4.118644068,3.904761905,4,No Regrets Bar,4
3rj1qpgFvkRWtAka17mhEQ,3.27027027,3.168539326,3.086419753,3.375,3.230769231,Mimi's Cafe,3
3sPSc8NBvrkXi7scpRYDLg,4.078431373,3.810810811,3.7,4.384615385,3.75,Hello Tokyo,4
3TRgD3KLVis61eGvMZrykA,4.154761905,4.0625,4.153846154,4.227272727,3.5,SK Seafood Restaurant å‹è¨˜,4
3uC7Lbc3RgUDTWQlBu4PqQ,3.969135802,3.896313364,3.997938144,3.889570552,4.02173913,Bouchon Bakery at the Venetian Theater,4
3uHuoVXDAIoiHotGTHxcbg,4.25,4.382352941,4.058823529,4.3125,4.75,The Otheroom,4
3vxIqhm2jCVjkUWtmDvTsw,4.209964413,4.099099099,4.201058201,4.2,4.148148148,Raising Cane's,4
3WRvQJS9GIBubGxbHMzX2g,3.343283582,3.297297297,3.531914894,3.666666667,4.111111111,Chipotle Mexican Grill,3.5
3X7dy9FD3fQ8fQ-WBBzDMw,4.196078431,3.918032787,3.983606557,4.142857143,3.142857143,Freakin' Frog,4
3XE-poXz9CeDao-Q7pqkTw,3.822580645,3.879518072,3.816326531,3.627906977,3.857142857,SEABLUE by Michael Mina,4
3X-SMnyYq77IYEnyCp-TtQ,2.5,2.633333333,3.028571429,2.888888889,2,Tropical Breeze Cafe,2.5
-3zffZUHoY8bQjGfPSoBKQ,4.095890411,3.990990991,4.045643154,3.917647059,3.864864865,Michael Mina,4
3ZHyw0d8mk0HOEP7v4fW1A,3.903508772,4.045977011,3.891089109,3.972972973,4.1,Krung Thai Restaurant,4
409qhf4RF0rlxcuaM576Qg,2.523809524,2.46875,2.540540541,2.692307692,1,El Pollo Loco,2.5
41b2SLmjLcxTGLVRxASiDA,4.217948718,4.12037037,4.075630252,4.04,4.166666667,Country Club,4
41Kbugm-qmIQTt7unkALYQ,3.766304348,3.834710744,3.796460177,3.759259259,3.80952381,Top of Binion's Steakhouse,4
44kd3YdkhXj5XiSPs5XNjQ,3.31441048,3.37987013,3.407624633,3.203125,3.333333333,FireRock Steakhouse,3.5
45513UgSlMqWV_yAPVkXrg,3.396825397,3.794117647,3.421052632,3.333333333,2.5,Verona Pizza,3.5
46JVW4pwLDRIye4gYJboSw,3.215686275,3.4,2.952380952,3.454545455,2.666666667,Terra Rossa,3
4aAf2nAr86lcDHzqWSaYuQ,3.488372093,3.34375,3.549019608,3.533333333,4.333333333,Alexander's Pizza,3.5
4aCun88uZMOsAoymY5Li3w,3.251655629,3.086956522,3.20754717,3.41025641,3.75,Icy Juicy,3
4Azs1HUqi0Nk6s6xB_9jsQ,3.253968254,3.295454545,3.431818182,3.1875,3.25,Shizen Japanese Restaurant,3.5
4Bw9XffSa0AMy2SrNCS2KA,3.708955224,3.739726027,3.409638554,3.230769231,2.909090909,Sababa Mediterranean Grill,3.5
4cDWyZa6EqsY4XSWwLY7RA,3.85,3.736111111,3.623188406,3.612903226,3.555555556,Go Raw Cafe,4
4EfiNcKSsafogIhAjwv0gg,3.366666667,3.965517241,3.656716418,3.88,3.666666667,Rustica Pizzeria,4
4FaRTjXXFdfs1Nn29V9kAg,4.078947368,4.189655172,4.148148148,4.470588235,4.071428571,KoKoRo Ramen,4
4fGGeKlUY3SwqLW4SH_QnQ,3.643678161,3.592105263,3.802816901,3.68,4.333333333,Cafe Lola,3.5
4GnBMG5pZSJsBn6hbUL_7w,4.088235294,4.291666667,4.142857143,3.625,5,Las Vegas Donut House,4.5
4hG2j_ibsNblDgqei05U_g,3.87654321,3.851351351,3.861924686,3.963855422,3.608695652,Social House,4
4Hx-brYb86k4C1VSKPvj7g,3.854014599,4.226190476,4.175824176,3.896551724,3.777777778,Crazy Pita Rotisserie & Grill,4
4JkGjRRc3XucG9U8XwthGg,4.269230769,4.046511628,4.212765957,4.461538462,4.75,China Gourmet,4
4JNXUYY8wbaaDmk3BPzlWw,4.146695096,4.14573991,4.11865942,4.180165289,3.991735537,Mon Ami Gabi,4
4k3RlMAMd46DZ_JyZU0lMg,4.191969887,4.146586345,4.206896552,4.172897196,4.226415094,Ramen Sora,4
4khsN1eXcWR0YYmROlLEzw,4.048192771,4.116666667,4.030769231,4.192307692,4.5,SkyJump Las Vegas,4
4KmrrhtfnngTVFa2d5LAjg,3.34765625,3.474358974,3.31147541,3.153846154,3.222222222,Allegro,3.5
4L3VJwVqUareUUIGPE2zcw,3.586206897,3.173913043,3.578947368,3.777777778,0,Shalimar Restaurant,3.5
4LhURdgGRofYSR_1LBTXvQ,3.911111111,4.027027027,3.787234043,3.5,5,Amber's Smoked Vegan,4
4lKF-M_3OLsk1usLPDJEFA,2.71875,2.15625,2.387096774,3,1.75,Einstein Bros Bagels,2.5
4mb32UmQULqg7IMck28vog,3.718213058,3.712871287,3.659292035,3.506024096,3.764705882,Pinches Tacos,3.5
4mYPOzBokDgz307TW2EIKw,2.289719626,2.712328767,2.461538462,2.121212121,2.857142857,Crafted Buffet,2.5
